Sample	MajorComponent
19R58092	RT4
19R58093	RT4
19R58094	RT4
19R58095	RT4
19R58096	RT4
19R58097	RT4
19R58098	RT4
19R58099	RT4
19R58100	RT4
19R58101	RT4
19R58102	RT4
19R58103	RT4
19R58104	PANC1
19R58105	PANC1
19R58106	PANC1
19R58107	PANC1
19R58108	PANC1
19R58109	PANC1
19R58110	PANC1
19R58111	PANC1
19R58112	PANC1
19R58113	PANC1
19R58114	PANC1
19R58115	PANC1
19R58116	PANC1
19R58117	MV411
19R58118	RT4
19R58119	MV411
19R58120	MV411
19R58121	MV411
19R58122	MV411
19R58123	MV411
19R58124	MV411
19R58125	MV411
19R58126	MV411
19R58127	MV411
19R58128	MV411
19R58129	MV411
19R58130	LNCAPCLONEFGC
19R58131	LNCAPCLONEFGC
19R58132	LNCAPCLONEFGC
19R58133	LNCAPCLONEFGC
19R58134	LNCAPCLONEFGC
19R58135	LNCAPCLONEFGC
19R58136	LNCAPCLONEFGC
19R58137	LNCAPCLONEFGC
19R58138	LNCAPCLONEFGC
19R58139	LNCAPCLONEFGC
19R58140	LNCAPCLONEFGC
19R58141	LNCAPCLONEFGC
19R58142	LNCAPCLONEFGC
19R58143	MV411
19R58144	RAJI
19R58145	RAJI
19R58146	RAJI
19R58147	RAJI
19R58148	RAJI
19R58149	RAJI
19R58150	RAJI
19R58151	RAJI
19R58152	RAJI
19R58153	RAJI
19R58154	RAJI
19R58155	RAJI
19R58156	CAL27
19R58157	CAL27
19R58158	CAL27
19R58159	CAL27
19R58160	CAL27
19R58161	CAL27
19R58162	CAL27
19R58163	CAL27
19R58164	CAL27
19R58165	CAL27
19R58166	CAL27
19R58167	CAL27
19R58168	CAL27
19R58169	RAJI
