"","sample","ContaminationRatio(%)"
"X","19R36178.SNPratio","6.54"
"X.1","19R36179.SNPratio","2.99"
"X.2","19R36180.SNPratio","1.62"
"X.3","19R36181.SNPratio","15.5"
"X.4","19R36182.SNPratio","3.54"
"X.5","19R36183.SNPratio","4.08"
"X.6","19R36184.SNPratio","5.425"
"X.7","19R36185.SNPratio","4.18"
"X.8","19R36186.SNPratio","2.58"
"X.9","19R36187.SNPratio","10.65"
"X.10","19R36188.SNPratio","3.79"
"X.11","19R36189.SNPratio","4.725"
"X.12","19R36190.SNPratio","6.95"
"X.13","19R36191.SNPratio","3.28"
"X.14","19R36192.SNPratio","11.665"
"X.15","19R36193.SNPratio","1.74"
"X.16","19R36194.SNPratio","2.61"
"X.17","19R36195.SNPratio","1.66"
"X.18","19R36196.SNPratio","2.67"
"X.19","19R36197.SNPratio","0.79"
"X.20","19R36198.SNPratio","2.67"
"X.21","19R36199.SNPratio","1.06"
